,logFC,logCPM,PValue,FDR
PA1927,-2.14216825456995,5.2929904222894,9.27302405000739e-09,3.7236372387512e-08
PA2747,-1.97511473072363,5.84688475312915,9.41547114290292e-09,3.77816573494013e-08
PA0248,1.23399402605619,4.6273309863837,9.92406810640058e-09,3.97663081920554e-08
PA5495,1.50620920549434,8.09459455538413,9.94403995977836e-09,3.98182361718064e-08
PA0982,-1.4049877674097,5.08966262888067,1.05683584165446e-08,4.22883291678225e-08
PA0026,1.4029690945386,5.19389832201745,1.0627922865617e-08,4.24967225570234e-08
PA2191,-1.76590111460428,4.28203996464757,1.08838867181982e-08,4.34895909823571e-08
PA4242,1.32302638401173,8.12974193612599,1.10274953516849e-08,4.40014888312488e-08
PA1071,1.59498071494585,6.24334726094193,1.1376946191836e-08,4.53639750542451e-08
PA2716,-1.74359442545088,4.75260391062405,1.15586329143701e-08,4.60560825879252e-08
PA0001,1.35794960264067,8.51977606860992,1.1586173619041e-08,4.61334458688043e-08
PA4538,1.23905699683273,6.86498457974924,1.17900910511621e-08,4.69124996415548e-08
PA1070,1.62101150564975,6.10643611511002,1.21981155907736e-08,4.84680898001487e-08
PA0873,1.35725819944136,6.45892837253585,1.23672689686985e-08,4.91058414015877e-08
PA4386,1.69917980330019,10.2826705814946,1.25134392880389e-08,4.96515082302479e-08
PA2654,1.38418358027764,5.7340543400068,1.32994778862248e-08,5.27335443002683e-08
PA0011,-1.31991519238701,6.62483524248569,1.33349789119947e-08,5.28374112088667e-08
PA5120,1.6010863495802,3.16540654304292,1.36752010012926e-08,5.41476926676007e-08
PA1729,-1.31265964784417,6.35612471738837,1.37191359998578e-08,5.42838008412493e-08
PA2576,1.51802490875314,4.35991717068009,1.39166069007172e-08,5.50268063943402e-08
PA3905,2.11753567835861,5.16843696258519,1.42825065982142e-08,5.64342884235631e-08
PA3212,1.21920236198067,4.87891731391003,1.44204271229535e-08,5.69396280974477e-08
PA1895,-1.69576741657288,4.47980058861198,1.44620998862541e-08,5.70644914205355e-08
PA3732,1.779856186152,8.10985267627784,1.45371598522075e-08,5.73208289172461e-08
PA3440a,1.38030047597501,5.62811738326552,1.46978553740831e-08,5.79142420638751e-08
PA5401,-1.53875698649106,3.51659458221842,1.49241346682298e-08,5.8765073957149e-08
PA4663,1.30618786527024,5.20737229710105,1.53944302326318e-08,6.05329465795593e-08
PA1145,-1.31939549613691,4.34325961198303,1.54388740860198e-08,6.0665693467419e-08
PA2998,1.26468470893125,6.74964755303211,1.54539612471823e-08,6.06829819927393e-08
PA4556,-1.37546357878541,6.31969227676346,1.59033008921599e-08,6.23611481116603e-08
PA0260,1.35681535049671,6.98335337416281,1.62544169346789e-08,6.369398161153e-08
PA0490,-1.53818226545451,5.41609412152539,1.62712809238733e-08,6.37160917832778e-08
PA2109,-1.54561374701998,3.94015965458549,1.65837191995246e-08,6.4850108550207e-08
PA3531,2.6380775791936,8.13277924587872,1.70461705068017e-08,6.66126332674605e-08
PA0537,1.34863061614115,7.15458896298273,1.74511962063311e-08,6.81484814714912e-08
PA0002,1.64129821975506,7.99784481784671,1.75811902050617e-08,6.86089333225708e-08
PA4003,1.51968560531182,6.98830319845649,1.87750495830435e-08,7.32175353932148e-08
PA0401,1.27931550056403,7.20873288893279,1.99408163185147e-08,7.76038074410735e-08
PA4285,1.2565040473412,6.83837962511223,1.99806682038642e-08,7.77056397681786e-08
PA1247,-2.06547797049069,3.58856585767421,2.05192113433284e-08,7.97454360078158e-08
PA2364,-1.98487994819033,4.45435954621742,2.08970557428511e-08,8.11028588570802e-08
PA3939,1.29938044989888,3.35261465820683,2.12558343418582e-08,8.2382680814383e-08
PA1124,-1.21425731472588,6.56464170528883,2.13306798596155e-08,8.26163712434492e-08
PA4421.1,-2.11163529528745,17.8481505648498,2.15532720076856e-08,8.34215940420169e-08
PA2641,1.24738253393143,8.02931291578431,2.1860226097577e-08,8.45520189250967e-08
PA0413,1.52202179537641,9.04118888394965,2.25956837079434e-08,8.73371627594981e-08
PA1073,1.4136913909261,5.87868254820297,2.26702697151069e-08,8.7565844518624e-08
PA4777,1.27553532561239,4.64634289103505,2.36841117910625e-08,9.14197054722316e-08
PA1987,-1.91802699958419,4.68494648888836,2.3850134216131e-08,9.19980041298856e-08
PA1097,1.23097018455614,7.93243573503334,2.38981881115398e-08,9.21207821434643e-08
PA0428,1.44220944932415,8.54854622214252,2.47659637482474e-08,9.54010462432487e-08
PA3629,-1.24226442292601,8.41572303650203,2.4808893166209e-08,9.55016239984641e-08
PA1027,-1.3111637680301,4.71140285020343,2.48491547670435e-08,9.55918026878543e-08
PA3216,-1.70799481932009,3.69138941756032,2.50215504852881e-08,9.61898196719472e-08
PA5503,1.23436707193489,5.58926963730858,2.56166737764761e-08,9.84110106243783e-08
PA1661,1.44869767481895,4.04170801288856,2.59357246099918e-08,9.95693335601984e-08
PA1253,-1.72200930203554,3.34214606471343,2.60590071767024e-08,9.9975028884673e-08
PA0930,-1.31096930240757,4.76531487260698,2.63938465548587e-08,1.01191263159006e-07
PA1763,-1.62682578705388,3.75324460769586,2.66381033484442e-08,1.02058806216239e-07
PA3224,-1.24502209970546,6.04542317931813,2.66948362221485e-08,1.02207201665111e-07
PA3745,1.33726398558011,7.0307973328755,2.71406570209696e-08,1.03844104154357e-07
PA3413,-1.29795494410853,4.58041536042381,2.73668876086461e-08,1.04639183731914e-07
PA5137,1.38293389185779,4.36106961954303,2.83328205873199e-08,1.08259593065143e-07
PA4465,1.3832962480692,7.68014449235666,2.84804246618671e-08,1.08750404324197e-07
PA0231,-2.01440592398373,5.42842535085655,2.87046024854567e-08,1.09532750613187e-07
PA3647,1.49301132420849,6.94282565688203,2.92904555065042e-08,1.11693221199416e-07
PA1609,1.63216573532912,9.5637517578644,2.9716545578034e-08,1.13241977041662e-07
PA0543,-1.22321208606077,4.64055093276274,3.01202496397706e-08,1.14626526444114e-07
PA3213,1.19068440981642,5.70219465872362,3.02425055169109e-08,1.15014699480924e-07
PA1273,1.84001342321331,4.62889418508516,3.04391553862535e-08,1.15685089881625e-07
PA0344,1.24838809608419,4.61178625652539,3.05287242731366e-08,1.15947890583859e-07
PA0397,-1.37739915547798,5.18628688456666,3.09806893194134e-08,1.17585798098683e-07
PA2639,1.35676770090333,8.76872393938019,3.10201197408675e-08,1.17656806872843e-07
PA5369.1,3.03351977244245,3.77097693634819,3.14725771150618e-08,1.19293252910094e-07
PA3612,1.36348251605955,4.96411677600176,3.16435941927121e-08,1.19861459523829e-07
PA3092,1.14196499966363,5.12865106165785,3.19682189827499e-08,1.21010364922702e-07
PA3004,1.20729328393842,6.64730103418392,3.26281619724435e-08,1.23426184996359e-07
PA1608,1.50150803771864,3.31122960889712,3.28784856424403e-08,1.24290307242195e-07
PA2004,-1.35616160108461,3.83858861894737,3.33155005501141e-08,1.25698687920636e-07
PA1179,1.50663379895092,7.89390638398628,3.33174577880515e-08,1.25698687920636e-07
PA0665,-1.28187108648882,7.02200871568107,3.35010943620658e-08,1.26307578876368e-07
PA0647,-1.68550015794674,4.07780430325065,3.40453393324436e-08,1.28274344213414e-07
PA5413,1.23046673598559,6.83210928972756,3.41315042333368e-08,1.28513714215442e-07
PA4432,2.01043141271927,9.11618216610814,3.46622131815094e-08,1.30425478094506e-07
PA3804,1.30109184914116,6.90856265631236,3.48645893980515e-08,1.31100091789494e-07
PA2759,1.80286395023994,4.63852966731813,3.49891913887915e-08,1.31481554404737e-07
PA4280.1,3.1240633633465,3.76521983505555,3.57148287288692e-08,1.34119575081031e-07
PA5029,1.61836282944654,4.82745858687782,3.61753449768383e-08,1.35734462993412e-07
