Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA3347	1352	1282	1257	929	483	600
PA3348	2511	1909	1665	1483	1690	1763
PA3349	5938	4542	3850	2118	2454	2935
PA3350	1764	1077	1260	2587	2624	2237
PA3351	2117	1581	1466	3129	2019	2323
PA3352	1148	878	751	2140	1803	1297
PA3353	496	350	319	1048	862	683
PA3354	1132	922	648	518	608	696
PA3355	798	650	502	643	881	797
PA3356	4469	3765	3703	3687	6651	6690
PA3357	776	580	499	721	1286	1193
PA3358	85	37	31	98	154	125
PA3359	74	72	34	175	160	110
PA3360	84	93	56	74	107	46
PA3361	3358	5958	2595	125	94	107
PA3362	3700	3985	2592	202	165	208
PA3363	5118	4122	3554	594	355	580
PA3364	8231	7132	5933	832	565	853
PA3365	22809	16374	14015	876	642	1401
PA3366	49408	46170	34615	4668	2513	4672
PA3366.1	228	260	179	52	49	30
PA3367	97	111	76	243	401	334
PA3368.1	3	8	13	4	1	7
PA3368	83	61	67	117	158	178
PA3369	158	93	54	214	143	82
PA3370	315	133	76	76	119	116
PA3371	354	150	82	105	129	163
PA3372	366	192	236	213	310	268
PA3373	421	275	337	217	282	342
PA3374	103	151	104	112	114	129
PA3375	8	9	18	13	27	19
PA3376	25	30	19	49	47	28
PA3377	45	43	53	48	54	69
PA3378	101	114	51	92	86	104
PA3379	17	14	17	14	26	36
PA3380	2	10	3	10	7	1
PA3381	30	17	18	26	30	30
PA3382	34	32	28	31	32	43
PA3383	16	27	20	45	40	35
PA3384	72	58	78	45	53	77
PA3385	1918	3777	3026	5742	2045	1239
PA3386	188	191	156	159	179	209
PA3387	142	146	110	128	155	81
PA3388	351	241	208	139	222	203
PA3390	29	34	29	25	35	44
PA3389	45	47	42	90	87	89
PA3391	4882	2658	2915	2525	1642	2800
PA3392	2889	1654	1579	1148	511	493
PA3393	515	341	323	237	177	145
PA3394	377	310	227	53	58	66
PA3395	501	203	250	94	87	81
PA3396	618	264	209	102	124	89
PA3397	3126	3270	4148	6949	7401	5153
PA3398	633	390	305	860	1008	999
PA3399	1534	1254	966	552	477	883
PA3400	132	134	121	368	374	282
PA3401	145	86	134	449	491	353
PA3402	235	171	168	517	711	398
PA3403	91	86	66	109	142	82
PA3403a	531	806	1024	146	151	87
PA3404	124	230	253	119	119	76
PA3405	36	28	25	19	30	26
PA3406	47	46	39	21	29	35
PA3407	290	228	184	185	234	217
PA3408	252	225	220	230	264	244
PA3409	145	123	92	36	44	29
PA3410	232	131	135	95	118	90
PA3411	18	13	11	26	35	25
PA3412	30	32	28	33	34	36
PA3413	753	568	451	375	281	338
PA3414	919	1384	851	124	228	154
PA3415	2074	2336	1880	80	125	112
PA3416	2500	2914	2323	32	45	39
PA3417	2143	2055	2238	33	52	62
PA3418	3891	4201	2755	373	204	245
PA3419	669	692	615	701	734	907
PA3420	144	151	108	123	146	141
PA3421	164	159	93	121	99	117
PA3422	393	382	298	208	219	340
PA3423	247	244	202	298	335	315
PA3424	433	454	419	186	210	209
PA3425	525	482	404	81	83	122
PA3426	1163	957	773	212	361	271
PA3427	628	694	356	779	702	448
PA3428	88	90	55	24	24	33
PA3429	274	234	192	126	109	130
PA3430	557	682	491	470	359	576
PA3431	54	114	58	357	350	907
PA3432	77	214	96	274	398	962
PA3433	205	185	151	279	486	428
PA3434	361	329	205	352	331	353
PA3435	1550	1164	841	2967	3100	2604
PA3436	135	173	90	220	199	213
PA3437	451	382	288	1080	705	483
PA3438	366	251	258	1326	929	739
PA3439	693	615	501	1184	971	836
PA3440	289	273	403	2281	1473	1406
PA3440a	484	453	456	1937	1925	1292
PA3441	77	49	56	108	162	211
PA3442	116	106	65	136	236	305
PA3443	15	12	12	48	128	58
PA3444	43	32	34	115	299	218
PA3445	82	81	54	347	491	335
PA3446	152	52	53	426	607	314
PA3447	27	41	35	28	33	21
PA3448	61	26	20	28	36	41
PA3449	50	35	31	35	45	53
PA3450	895	645	536	1140	1314	965
PA3451	3072	2954	2353	67	45	115
PA3452	1445	1144	849	2781	5560	1472
PA3453	779	320	384	1168	1849	1310
PA3454	582	499	345	543	654	453
PA3455	1621	1387	1077	2104	1875	1781
PA3456	556	307	356	433	762	895
PA3457	219	159	128	613	564	779
PA3458	705	575	510	5104	3881	7904
PA3459	6761	8206	7446	7317	5472	11828
PA3460	4704	6020	5536	1319	1653	1654
PA3461	2309	2967	2716	718	799	713
PA3462	422	316	276	258	238	199
PA3463	131	68	71	139	112	89
PA3464	319	251	189	338	355	339
PA3465	2416	1834	1759	6008	3806	6523
PA3466	2341	1510	1502	2105	2765	2113
PA3467	471	338	412	137	131	164
PA3468	2015	1049	1096	2347	2741	2083
PA3469	545	363	322	822	1040	611
PA3470	555	393	306	567	852	815
PA3471	3080	2128	1887	6231	5871	4416
PA3472	2937	2097	2295	1653	1285	881
PA3473	313	176	171	291	482	352
PA3474	247	187	150	222	301	225
PA3475	1178	713	675	803	873	601
PA3476	23497	17472	15569	3232	2987	3136
PA3477	12852	9992	9173	3162	3287	3227
PA3478	3183	2754	2805	449	393	421
PA3479	12109	10804	8869	468	377	492
PA3480	768	540	661	1816	1677	1012
PA3481	2251	1833	1772	3073	3335	3757
PA3482	7299	6021	5683	10118	9356	7675
PA3483	1572	1100	905	2527	3447	2093
PA3484	587	370	357	5878	6554	5330
PA3485	212	116	122	1341	1751	1472
PA3486	1233	1309	774	1886	1562	1399
PA3487	620	551	424	2439	2613	2674
PA3488	539	558	381	544	221	274
PA3489	237	126	143	323	238	184
PA3490	116	85	105	192	322	204
PA3491	547	358	383	1203	1422	1055
PA3492	290	185	199	484	474	577
PA3493	83	72	82	298	308	251
PA3494	129	116	140	293	304	201
PA3495	184	133	170	484	394	298
PA3496	115	205	166	340	234	407
PA3497	120	121	82	175	156	146
PA3498	197	139	118	298	307	310
PA3499	53	56	42	41	66	92
PA3500	82	159	111	239	195	207
PA3501	14	13	15	8	14	19
PA3502	48	44	39	86	71	68
PA3504	252	231	194	218	265	273
PA3505	118	70	70	61	74	147
PA3506	160	177	88	190	188	268
PA3507	51	58	39	57	70	84
PA3508	52	56	45	130	116	96
PA3509	72	48	44	67	83	178
PA3510	60	53	54	159	87	107
PA3511	49	66	37	74	46	52
PA3512	99	72	76	120	90	134
PA3513	97	104	70	95	153	119
PA3514	149	131	111	114	107	126
PA3515	232	219	176	297	262	252
PA3516	81	71	77	119	107	121
PA3517	291	205	167	49	77	75
PA3518	137	91	62	59	34	57
PA3519	227	194	133	33	26	30
PA3520	1308	1574	930	24	19	32
PA3521	47	61	64	45	75	70
PA3522	261	281	165	297	295	378
PA3523	62	64	31	48	97	64
PA3524	927	1393	879	5739	3138	1599
PA3525	4935	4519	4486	8501	9289	6736
PA3526	298	207	191	105	212	154
PA3527	3447	2646	2526	4055	4190	3091
PA3528	2365	1556	1581	2818	3280	3156
PA3529	4208	5026	4408	49539	28582	15549
PA3530	2160	2871	1584	134	96	74
PA3531	1019	1810	1079	19230	9899	5839
PA3532	467	463	454	2609	2898	1925
PA3533	5477	7360	3944	6670	3663	2784
PA3534	446	445	302	465	599	414
PA3535	3943	2631	3152	1534	1610	1786
PA3536	1124	897	898	1272	1672	1482
PA3537	1365	740	849	1472	1917	1726
PA3538	1554	1116	1102	2635	2849	1982
PA3539	571	458	612	1728	1298	911
PA3540	1389	2139	2338	624	1179	447
PA3541	348	420	437	242	313	232
PA3542	230	254	232	124	200	159
PA3543	120	206	187	93	140	126
PA3544	237	379	337	166	255	194
PA3545	992	1273	844	1223	877	1285
PA3546	166	300	286	96	171	113
PA3547	284	405	561	111	192	144
PA3548	301	489	514	179	212	192
PA3549	80	213	286	70	146	95
PA3550	339	1001	914	222	334	219
PA3551	1093	2520	2069	498	854	439
PA3552	192	100	91	2005	2115	1404
PA3553	122	97	77	1459	1610	1074
PA3554	172	121	165	2657	3189	1948
PA3555	30	21	21	156	270	169
PA3556	50	41	32	614	827	534
PA3557	8	4	3	119	161	63
PA3558	8	6	1	52	56	47
PA3559	179	152	80	1911	2527	1809
PA3560	159	116	121	1522	2364	1993
PA3561	117	117	90	1012	1752	1933
PA3562	360	300	242	2641	4242	5341
PA3563	1555	1218	979	1810	2023	2016
PA3564	374	234	214	445	702	545
PA3565	278	240	163	330	417	535
PA3566	1017	1447	1275	1293	959	2025
