Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA4630	421	317	387	301	311	149
PA4631	1409	496	785	3267	2805	1508
PA4632	938	299	491	3867	2374	2754
PA4633	883	352	564	598	893	380
PA4634	970	312	500	518	520	224
PA4635	215	71	98	113	121	38
PA4635a	236	101	147	214	212	97
PA4636a	141	72	82	39	66	30
PA4636	962	459	615	2664	2130	1004
PA4637	1586	876	1103	411	1407	294
PA4637a	17632	19988	14056	283	460	183
PA4639	3199	1556	2475	5785	4978	2341
PA4640	2728	1289	1856	6750	5025	3676
PA4642	475	226	403	302	468	178
PA4643	1533	852	1116	1356	1534	551
PA4644	183	77	132	675	489	275
PA4645	370	224	280	3014	1716	1351
PA4646	1162	708	916	1978	1785	885
PA4647	1451	821	1083	3312	2533	1418
PA4648	1113	682	840	89	179	53
PA4649	438	183	267	86	264	36
PA4650	322	158	246	56	91	20
PA4651	861	314	420	95	68	48
PA4652	503	168	296	182	248	136
PA4653	429	170	327	278	331	127
PA4654	212	98	131	88	114	58
PA4655	2652	946	1338	2864	3049	1075
PA4656	2702	1054	1244	1489	2204	840
PA4657	4008	1674	2395	1328	2025	760
PA4658	2487	1197	1136	976	1269	578
PA4659	539	329	262	395	472	219
PA4660	2165	1030	1099	2145	2897	1272
PA4661	5730	3306	4462	14838	21176	11016
PA4662	972	328	585	2391	2548	1079
PA4663	546	184	340	1565	1247	824
PA4664	1410	648	942	4284	4871	1549
PA4665	1228	388	743	4613	4386	2334
PA4666	1171	482	802	2645	2735	1060
PA4667	3911	1935	2982	7354	7549	3864
PA4668	949	444	716	1492	1827	585
PA4669	1321	624	930	7069	3375	5125
PA4669.1	324	102	158	472	260	222
PA4670	3745	2219	2632	22809	11773	8358
PA4671	6480	3318	4276	116288	51391	62239
PA4672	378	177	232	1568	1167	1155
PA4673	1757	850	1133	6779	7826	3259
PA4673.1	16	13	11	4	21	12
PA4674	477	200	361	552	579	432
PA4675	952	357	519	3454	1980	1946
PA4676	524	214	262	1610	904	702
PA4677	961	528	842	813	1131	432
PA4678	199	80	152	367	428	177
PA4679	944	286	531	295	811	383
PA4680	98	42	76	37	84	22
PA4681	182	156	140	94	158	52
PA4682	440	267	355	210	346	74
PA4683	201	129	246	691	1428	299
PA4684	841	372	519	2148	2031	898
PA4685	0	2	0	4	1	2
PA4686	1631	732	1109	8385	6711	4663
PA4687	2658	1685	2313	3292	3430	1585
PA4688	436	197	399	1675	1459	712
PA4689	1652	791	1248	5098	4519	2517
PA4690	207	151	159	444	431	249
PA4690a	293	156	212	573	408	307
PA4690.1	52	65	71	2250	447	2301
PA4690.2	27830	115493	48282	257527	29837	1881434
PA4690.3	80	23	40	49	77	65
PA4690.4	291	178	205	1112	850	1074
PA4690.5	6578	38231	40332	521289	20135	1586856
PA4691	916	429	601	295	347	138
PA4692	2091	1156	1242	584	816	336
PA4693	2909	1321	2130	4793	4502	2180
PA4694	2700	1565	2050	22556	12416	12804
PA4695	419	212	342	2290	1810	1815
PA4696	3858	1777	2502	7816	7991	5011
PA4697	673	640	697	1204	1666	725
PA4698	1613	547	1086	955	1648	560
PA4699	2972	1318	1913	1308	3580	1038
PA4700	3620	1385	2223	6921	6118	3090
PA4701	5296	2464	3753	8390	7797	3875
PA4702	1945	1450	1201	296	340	168
PA4703	2708	942	1684	110	202	67
PA4704	884	329	432	1223	757	549
PA4704.1	689	274	239	106	53	84
PA4704.2	1334	404	393	66	75	59
PA4705	695	164	327	783	781	387
PA4706	205	71	92	140	123	100
PA4707	865	273	376	392	359	202
PA4708	2247	511	743	340	388	214
PA4709	2242	635	1029	98	86	81
PA4710	1994	999	1107	327	334	201
PA4711	295	114	135	293	426	168
PA4712	416	168	256	214	364	116
PA4713	958	605	916	186	235	78
PA4714	9118	2616	3869	1362	2485	680
PA4715	2676	582	797	3030	2877	1489
PA4716	1032	580	773	1010	1301	500
PA4717	2126	1128	1534	914	1193	497
PA4718	677	399	479	860	1429	531
PA4719	721	361	479	2256	1662	863
PA4720	905	340	551	4095	3076	1705
PA4721	722	239	424	1575	1820	900
PA4722	5458	2249	3601	1524	2366	1129
PA4723	7795	2289	4285	15083	15745	8893
PA4724	473	231	320	1708	1610	480
PA4724.1	45	33	28	25	45	40
PA4725	2188	1024	1336	2924	3481	1660
PA4726	11324	5645	7544	10484	13846	6840
PA4726.1	26	35	15	8	20	8
PA4726.11	3391	4391	5001	1511	475	567
PA4726.2	0	0	0	0	0	0
PA4727	4247	2024	3173	7180	8441	2305
PA4728	385	207	332	884	1220	385
PA4729	1502	452	850	2209	2506	847
PA4730	862	301	398	2721	1993	1354
PA4731	290	214	204	933	985	310
PA4732	3487	1603	2365	6083	5359	2886
PA4733	3513	1936	2640	1584	1531	825
PA4734	1458	722	1108	1108	1399	451
PA4735	4581	2629	3393	7733	7427	3787
PA4736	696	339	507	569	1258	311
PA4737	733	247	469	1514	1704	700
PA4738	6623	675	468	308	189	184
PA4739	5439	513	480	247	138	159
PA4740	13796	9448	12007	40904	33588	29196
PA4741	2599	1735	2135	7471	6932	13942
PA4742	6672	2888	4790	6867	7159	4263
PA4743	198	123	140	1301	1586	995
PA4744	20584	6739	10245	68362	64478	44550
PA4745	11529	3762	5237	28677	22957	18368
PA4746	3065	1239	1482	2642	2768	1001
PA4746.1	2132	686	1139	365	1175	180
PA4746.2	936	367	567	358	1061	322
PA4747	5155	2196	2573	6356	8891	5026
PA4748	11503	3769	5814	30868	40902	10318
PA4749	5613	2368	3246	14510	14468	9649
PA4750	3275	1149	1577	4773	4425	2357
