Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA0118	1977	1666	958	12037	11788	20489
PA0119	519	393	97	813	821	1099
PA0120	443	344	55	354	477	676
PA0121	328	321	101	360	449	785
PA0122	25556	21307	8404	1509	976	1185
PA0123	1106	1014	430	245	505	597
PA0124	44	51	38	103	149	192
PA0125	46	34	30	91	64	97
PA0126	112	76	35	2755	3118	3370
PA0127	855	576	286	574	539	674
PA0128	2071	1360	550	5355	3953	3960
PA0129	1485	3073	1360	1226	1131	1287
PA0130	3664	7326	2570	1869	2537	3164
PA0131	1043	2769	533	621	743	1005
PA0132	3457	9714	3044	1814	1656	2237
PA0133	885	495	139	439	523	570
PA0134	1947	1460	647	890	743	1258
PA0135	20	26	16	4	10	16
PA0136	124	86	40	58	96	87
PA0137	79	69	31	49	51	76
PA0138	247	186	87	177	193	256
PA0139	8362	7572	3715	30336	10956	13925
PA0140	689	941	225	2184	2963	2376
PA0141	608	870	358	10006	8322	9120
PA0142	429	332	107	307	469	634
PA0143	2369	2298	1160	1833	2067	2174
PA0144	589	619	222	234	501	666
PA0145	564	488	185	314	599	771
PA0146	124	104	35	144	155	216
PA0147	493	343	176	490	425	698
PA0148	1309	1273	475	1728	1330	1314
PA0149	252	116	29	28	58	89
PA0150	96	117	25	83	139	214
PA0151	255	185	71	109	153	191
PA0152	657	412	227	352	701	883
PA0153	552	457	291	269	250	253
PA0154	699	531	114	153	188	236
PA0155	1179	897	332	729	695	661
PA0156	1166	1188	349	757	1302	1324
PA0157	424	587	188	417	685	986
PA0158	2394	2771	1012	2819	3447	3697
PA0159	694	588	267	761	1189	1434
PA0160	93	118	50	84	87	134
PA0162	397	287	149	1979	2400	1979
PA0163	364	385	227	177	410	478
PA0164	402	368	120	612	1384	2485
PA0165	276	194	88	2914	3041	2675
PA0166	297	171	41	101	136	220
PA0167	1596	981	444	1312	1417	1683
PA0168	519	428	91	429	712	922
PA0169	240	169	58	1001	1834	2028
PA0170	111	59	34	422	729	808
PA0171	35	50	10	1123	847	984
PA0172	346	263	146	951	1860	1672
PA0173	124	137	50	19	26	41
PA0174	86	89	34	7	19	14
PA0175	503	454	328	42	49	51
PA0176	3203	2974	937	251	219	364
PA0177	573	609	118	58	49	76
PA0178	1260	1249	432	174	155	225
PA0179	2784	1809	443	391	216	439
PA0180	812	741	247	476	425	609
PA0181	489	313	141	611	644	939
PA0182	311	250	133	127	263	302
PA0183	562	433	132	311	405	584
PA0184	53	59	33	95	122	128
PA0185	79	82	27	56	66	116
PA0186	230	167	102	117	169	268
PA0187	769	1070	275	31	46	37
PA0188	572	741	224	29	40	50
PA0189	359	333	110	75	127	149
PA0190	130	143	61	52	116	165
PA0191	103	67	38	131	138	175
PA0192	223	171	70	120	179	241
PA0193	46	52	24	73	82	96
PA0194	77	77	40	60	85	126
PA0195	1211	1267	700	496	522	845
PA0195.1	148	101	69	95	83	96
PA0196	581	453	145	286	295	429
PA0197	53	57	21	66	68	79
PA0198	199	171	80	114	183	290
PA0199	452	299	251	595	967	3090
PA0200	576	514	342	5792	2352	6992
PA0201	238	192	125	953	1992	2157
PA0202	136	123	55	247	613	769
PA0203	60	92	46	51	50	73
PA0204	194	142	40	96	66	170
PA0205	228	182	67	196	185	246
PA0206	267	203	66	157	168	253
PA0207	602	451	341	362	406	800
PA0208	4402	11842	3426	527	669	781
PA0209	533	1803	283	16	20	19
PA0210	220	432	307	0	1	7
PA0211	1465	4066	1023	30	55	60
PA0212	1414	3591	1017	22	29	80
PA0213	131	376	75	6	10	15
PA0214	817	1784	385	66	64	153
PA0215	413	641	217	23	51	73
PA0216	1051	1995	892	84	197	255
PA0217	881	1019	347	261	377	362
PA0218	772	589	292	485	565	784
PA0219	64	85	27	81	96	127
