Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0306a	2384	1950	540	2462	1163	712
PA0307	718	1156	443	450	679	604
PA0308	465	726	201	754	1103	1187
PA0309	895	1581	615	1185	1497	1352
PA0310	323	462	276	827	1015	648
PA0311	121	180	53	260	422	251
PA0312	1390	1838	420	904	1258	1086
PA0313	746	977	322	853	1127	1082
PA0314	1871	2111	542	1627	1835	1586
PA0315	8253	9045	2515	5182	5204	4518
PA0316	4619	5765	2188	8168	11376	11098
PA0317	2638	3439	1474	5043	5923	5896
PA0318	1772	1906	635	2134	2883	2655
PA0319	1242	1384	374	2397	2840	2691
PA0320	1273	2998	1053	320	277	226
PA0321	213	358	133	217	261	309
PA0322	179	244	107	236	209	235
PA0323	126	177	33	190	156	155
PA0324	144	117	81	193	110	152
PA0325	302	370	150	384	330	296
PA0326	93	118	59	85	100	86
PA0327	329	958	302	505	496	441
PA0328	516	798	236	1009	1407	1545
PA0329	2366	2713	571	1869	1336	1326
PA0330	857	1393	627	1876	2309	2233
PA0331	1725	2090	859	4195	5992	5694
PA0332	754	969	243	273	443	532
PA0333	299	427	154	393	759	712
PA0334	401	513	126	1081	1405	1308
PA0335	1638	2152	826	3107	3185	2778
PA0336	2812	2952	1724	4479	5675	5622
PA0337	5162	7819	3041	14321	15186	15188
PA0338	644	581	201	578	964	896
PA0339	426	660	134	551	619	602
PA0340	531	624	265	701	918	751
PA0341	900	1181	557	1607	2484	2350
PA0342	1398	1898	620	3205	3635	3465
PA0343	868	1110	351	1339	1892	1612
PA0344	335	558	167	567	617	724
PA0345	310	418	88	304	322	336
PA0346	33	38	33	140	144	179
PA0347	173	218	81	294	526	489
PA0348	149	172	49	205	209	222
PA0349	121	167	66	154	183	149
PA0350	323	310	121	378	798	900
PA0351	743	707	280	1718	1461	1248
PA0352	290	556	198	1119	2138	2044
PA0353	2733	3640	1337	8878	9162	7428
PA0354	1334	1744	652	2398	4137	3312
PA0355	830	1162	364	451	413	393
PA0356	356	445	143	991	1212	1218
PA0357	1772	1653	784	2476	3418	3432
PA0358	200	280	108	518	770	675
PA0359	2402	2566	919	7757	4597	2320
PA0360	921	1169	337	1629	1774	1643
PA0361	1833	2327	552	1819	2435	2344
PA0362	668	702	482	1726	1599	1253
PA0363	1314	1080	473	2165	2251	2563
PA0364	414	599	220	556	645	567
PA0365	320	532	180	276	321	275
PA0366	1017	1639	402	1011	1047	982
PA0367	812	764	715	891	836	811
PA0367a	166	350	105	510	495	400
PA0368	684	1037	359	1296	1516	1226
PA0370	765	1127	391	1027	1583	1238
PA0371	1940	2963	925	3585	4363	3432
PA0372	2765	3427	1020	4351	5164	3997
PA0373	2937	3671	1519	5735	7390	6869
PA0374	1179	1714	531	2319	3082	2634
PA0375	2003	2995	829	3212	4501	3850
PA0376	13863	19561	8930	15947	18860	22592
PA0377	463	744	344	399	711	629
PA0378	314	542	168	575	802	751
PA0379	423	444	391	521	520	561
PA0380	189	196	179	384	362	352
PA0381	2373	2047	707	4483	6968	6620
PA0382	856	852	391	2008	4256	3784
PA0383	494	685	291	535	970	811
PA0384	151	244	50	140	133	133
PA0385	228	171	91	311	320	223
PA0386	555	613	368	1139	1867	1258
PA0387	1139	1711	550	1930	3467	2931
PA0388	1726	2355	476	2930	3471	2575
PA0389	795	614	243	1498	1809	1599
PA0390	826	893	398	2720	3567	3443
PA0391	1448	1993	648	3005	2870	2839
PA0392	508	795	290	1716	1953	1575
PA0393	902	1677	287	1884	2867	2606
PA0394	2099	2564	740	2628	3038	3031
