Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0556	149	274	294	822	1047	877
PA0557	327	328	521	310	312	269
PA0558	1266	4845	2545	1636	2442	1569
PA0559	639	1320	1035	1714	2037	1953
PA0560	261	501	435	1172	1017	781
PA0561	352	240	329	1028	906	749
PA0562	412	586	558	1701	1884	1367
PA0563	825	600	718	11320	11362	8074
PA0564	212	226	285	660	725	633
PA0565	1150	1670	2229	235	260	237
PA0566	661	1753	1735	971	1256	984
PA0567	539	576	911	475	349	353
PA0568	299	276	415	744	921	732
PA0569	99	106	147	500	485	570
PA0570	41	76	62	379	502	380
PA0571	293	270	496	1102	1044	1029
PA0572	665	668	804	578	528	572
PA0573	109	152	150	234	288	254
PA0574	262	192	337	1090	820	834
PA0574.1	10	14	28	18	18	18
PA0575	1098	1357	1828	798	1141	820
PA0576	17594	11336	24373	45967	45534	50257
PA0577	2897	1818	3349	10231	9091	8990
PA0578	491	324	619	4298	3466	3091
PA0579	3099	609	2587	9315	2993	5029
PA0580	876	937	1261	3933	3970	3692
PA0581	813	888	1232	1742	2304	1571
PA0582	58	102	104	197	356	251
PA0583	142	198	229	601	800	677
PA0584	610	1084	980	1521	2166	1775
PA0585	278	406	304	219	271	179
PA0586	4476	3543	6025	1193	1129	1056
PA0587	4729	3640	7303	1169	1182	1106
PA0588	21872	15381	32441	3573	3435	3463
PA0589	480	311	671	1181	1018	956
PA0590	1053	1220	1698	3689	3954	3090
PA0591	300	205	559	1269	908	855
PA0592	676	769	805	3702	3900	2906
PA0593	1236	3021	1893	6940	10516	6600
PA0594	4237	3776	6490	15693	14630	14012
PA0595	12467	9150	15529	38181	33749	33084
PA0596	801	1824	1518	4409	7317	5425
PA0597	218	266	403	931	1153	1060
PA0598	581	684	1046	1801	2072	1803
PA0599	699	1445	1188	2222	2744	2135
PA0600	936	1215	1613	2655	3194	2762
PA0601	438	568	880	1081	930	1022
PA0602	259	526	517	798	1095	948
PA0603	1427	626	1592	10824	7554	8707
PA0604	2166	1327	2375	13768	11950	14275
PA0605	698	562	820	5444	4788	4928
