Geneid  B1C     B1K     B1N     B1P     B1Z     B2C     B2K     B2N     B2P     B2Z     B3C     B3K     B3N     B3P     B3Z     P1C     P1K     P1N     P1P     P1Z     P2C     P2K     P2N     P2P     P2Z     P3C     P3K     P3N     P3P
PA0762     17330    6982   11219   11136   13319   21449   13236    8143    8109   11391    6323    8724   26976    8599   10423    4624    5452    3740    5864    6605    4908    6071    4442    5886    5297    4632    5938    3088    5970
PA0774       205     188     156     274     224     241     256     258      98     125      77      89     277     153     121     513     623    1182    1460     698    1118    1348    1076     842    1110     802    1373    1185     606
PA0775       440     364     277     283     228     314     348     280     135     176     132     168     385     216     202    1074    1057    1822    1584     971    1236    1535    1466    1211    1006     830    1382    1878     416
PA0779     94648   47999   39555  110447   67782   53767   61849   25394   19337   58970   18395   18919   37938   32036   42177    7808   23296   12218   12316   17898   19573   29915   10577    6748   19970   15539   28207   19222   10453
PA0780      5332    3760    1908    5037    4104    3107    4144    3286    1736    2362    1253    1370    2873    2676    2459     845    1482     827    1038    1157    1093    1577     866    1377    1330    1299    1505     890     398
PA0784      3702    2663    1878    4159    4063    3686    3905    2873    1702    2939    1823    1588    3082    2849    2508    1252    1701    1196    1920    1819    1756    2281    1331    2222    2044    2124    1910    1148     975
PA0788      3225    1479    1315    1686    1645    2013    2252    1417     859    1437     820     696    2035    1305    1344     468     727     593     682     805     727     801     654     882     782     811     785     573     368
PA0789      1341     805     799     687     811    1933    1429     717     584     686     569     532    1315     734     747   10670    7057    5361    7183    8407   12524    7334    3147    3825    6241   11340    9265    3943    2813
PA0792      3428    2068    1331    1996    1996    3341    2378    1253    1002    1454    1349     640    1493    1419    1138     886     681     530     547     837     685     667     490     587     696     981     604     503     266
PA0798       943     746     515     877     758     903     752     537     407     663     471     325     969     457     592      64      88     109     148     116      95     186     171     261     167     162     146     121      89
PA0801      2917    1360    1267    1646     958    2138    1764    1308     788    1525     399     338    1956    1001    1099     248     281     578     546     263     359     556     352     263     477     426     687     348     334
PA0803       793     415     304     557     436     624     683     503     289     339     156     171     528     302     341      76     115     162     157     119     152     188     142     142     145     132     155     117      45
PA0804      2027    1367    1135    1427    1377    1854    1580     971     536     971     598     401    1925     886     946     327     391     308     595     474     375     504     346     491     485     506     467     333     403
